date,redfin,zillow
2023-02-06T05:11:26.815229+00:00,—,786900
2023-02-07T05:12:33.229844+00:00,800328,786900
2023-02-08T05:11:40.056977+00:00,800328,786900
2023-02-09T05:11:23.827717+00:00,800328,786900
2023-02-10T05:11:14.866711+00:00,800328,786900
2023-02-11T05:10:35.655989+00:00,823095,786900
2023-02-12T05:11:07.218686+00:00,823095,786900
2023-02-13T05:11:34.288013+00:00,823095,786900
2023-02-14T05:11:40.592580+00:00,823095,786900
2023-02-15T05:11:49.851890+00:00,823095,794200
2023-02-16T05:11:43.784644+00:00,823095,794200
2023-02-17T05:11:21.379757+00:00,823095,794200
2023-02-18T05:10:42.282643+00:00,828658,794200
2023-02-19T05:11:45.987834+00:00,828658,794200
2023-02-20T05:11:55.143549+00:00,828658,794200
2023-02-21T05:12:14.881798+00:00,828658,794200
2023-02-22T05:14:07.475736+00:00,828658,794200
2023-02-23T05:12:36.502044+00:00,828658,794200
2023-02-24T05:11:42.616289+00:00,828658,794200
2023-02-25T05:11:06.121299+00:00,828658,794200
2023-02-26T05:10:58.182386+00:00,826858,794200
2023-02-27T05:13:08.506178+00:00,826858,794200
2023-02-28T05:12:06.353830+00:00,826858,794200
2023-03-01T05:12:50.533675+00:00,826858,797600
2023-03-02T05:14:52.317209+00:00,826858,797600
2023-03-03T05:16:33.509661+00:00,826858,797600
2023-03-04T05:11:00.224594+00:00,826858,797600
2023-03-05T05:10:51.200182+00:00,833664,797600
2023-03-06T05:11:47.971420+00:00,833664,797600
2023-03-07T05:13:10.771946+00:00,833664,797600
2023-03-08T05:11:43.087283+00:00,833664,806700
2023-03-09T05:11:49.727658+00:00,833664,806700
2023-03-10T05:12:42.742669+00:00,833664,806700
2023-03-11T05:11:09.428962+00:00,867121,806700
2023-03-12T05:11:12.197393+00:00,867121,806700
2023-03-13T05:11:14.132618+00:00,867121,806700
2023-03-14T05:11:52.211506+00:00,867121,821000
2023-03-15T05:12:28.320591+00:00,867121,821000
2023-03-16T05:11:22.106481+00:00,867121,821000
2023-03-17T05:11:08.476246+00:00,867121,821000
2023-03-18T05:11:10.479020+00:00,867121,821000
2023-03-19T05:10:37.406473+00:00,868011,821000
2023-03-20T05:11:16.612608+00:00,868011,821000
2023-03-21T05:11:01.824702+00:00,868011,821000
2023-03-22T05:11:52.646851+00:00,868011,821000
2023-03-23T05:10:24.312897+00:00,868011,821000
2023-03-24T05:10:40.866363+00:00,868011,821000
